 Count  Overhead File                    Line Function
 12064         0 ...r/src/find_block.jl   153 find_block(::Multiline)
   663       128 ...r/src/find_block.jl   116 fold_block(::Multiline, ::Array...
   841         0 ...r/src/find_block.jl   188 loop_correct_1_1_until_stable
  1416         0 ...r/src/find_block.jl    91 loop_until_stable__(::Multiline...
 11640         0 ...r/src/find_block.jl    94 loop_until_stable__(::Multiline...
   432         0 ...er/src/substring.jl    33 nonoverlapping
   413         0 ...er/test/optimize.jl    14 build_structure_tree(::String)
 12393         0 ...er/test/optimize.jl    15 build_structure_tree(::String)
   841         0 ...er/test/optimize.jl    16 build_structure_tree(::String)
Total snapshots: 29977
